"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age of Mother Year"	"Age of Mother Year Code"	Births
	"Alabama"	"01"	"2007"	"2007"	"13 years"	"13"	26
	"Alabama"	"01"	"2007"	"2007"	"14 years"	"14"	105
	"Alabama"	"01"	"2007"	"2007"	"15 years"	"15"	366
	"Alabama"	"01"	"2007"	"2007"	"16 years"	"16"	860
	"Alabama"	"01"	"2007"	"2007"	"17 years"	"17"	1589
	"Alabama"	"01"	"2007"	"2007"	"18 years"	"18"	2480
	"Alabama"	"01"	"2007"	"2007"	"19 years"	"19"	3401
	"Alabama"	"01"	"2007"	"2007"	"20 years"	"20"	3783
	"Alabama"	"01"	"2007"	"2007"	"21 years"	"21"	4050
	"Alabama"	"01"	"2007"	"2007"	"22 years"	"22"	4174
	"Alabama"	"01"	"2007"	"2007"	"23 years"	"23"	4088
	"Alabama"	"01"	"2007"	"2007"	"24 years"	"24"	4133
	"Alabama"	"01"	"2007"	"2007"	"25 years"	"25"	3954
	"Alabama"	"01"	"2007"	"2007"	"26 years"	"26"	3902
	"Alabama"	"01"	"2007"	"2007"	"27 years"	"27"	3843
	"Alabama"	"01"	"2007"	"2007"	"28 years"	"28"	3468
	"Alabama"	"01"	"2007"	"2007"	"29 years"	"29"	3267
	"Alabama"	"01"	"2007"	"2007"	"30 years"	"30"	2993
	"Alabama"	"01"	"2007"	"2007"	"31 years"	"31"	2583
	"Alabama"	"01"	"2007"	"2007"	"32 years"	"32"	2250
	"Alabama"	"01"	"2007"	"2007"	"33 years"	"33"	1981
	"Alabama"	"01"	"2007"	"2007"	"34 years"	"34"	1549
	"Alabama"	"01"	"2007"	"2007"	"35 years"	"35"	1452
	"Alabama"	"01"	"2007"	"2007"	"36 years"	"36"	1310
	"Alabama"	"01"	"2007"	"2007"	"37 years"	"37"	1005
	"Alabama"	"01"	"2007"	"2007"	"38 years"	"38"	707
	"Alabama"	"01"	"2007"	"2007"	"39 years"	"39"	524
	"Alabama"	"01"	"2007"	"2007"	"40 years"	"40"	363
	"Alabama"	"01"	"2007"	"2007"	"41 years"	"41"	237
	"Alabama"	"01"	"2007"	"2007"	"42 years"	"42"	148
	"Alabama"	"01"	"2007"	"2007"	"43 years"	"43"	105
	"Alabama"	"01"	"2007"	"2007"	"44 years"	"44"	66
	"Alabama"	"01"	"2007"	"2007"	"45 years"	"45"	18
	"Alabama"	"01"	"2008"	"2008"	"13 years"	"13"	31
	"Alabama"	"01"	"2008"	"2008"	"14 years"	"14"	120
	"Alabama"	"01"	"2008"	"2008"	"15 years"	"15"	330
	"Alabama"	"01"	"2008"	"2008"	"16 years"	"16"	768
	"Alabama"	"01"	"2008"	"2008"	"17 years"	"17"	1471
	"Alabama"	"01"	"2008"	"2008"	"18 years"	"18"	2468
	"Alabama"	"01"	"2008"	"2008"	"19 years"	"19"	3522
	"Alabama"	"01"	"2008"	"2008"	"20 years"	"20"	3833
	"Alabama"	"01"	"2008"	"2008"	"21 years"	"21"	3953
	"Alabama"	"01"	"2008"	"2008"	"22 years"	"22"	4024
	"Alabama"	"01"	"2008"	"2008"	"23 years"	"23"	4108
	"Alabama"	"01"	"2008"	"2008"	"24 years"	"24"	4062
