"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age of Mother Year"	"Age of Mother Year Code"	Births
	"Alabama"	"01"	"2003"	"2003"	"Under 15 years"	"14"	172
	"Alabama"	"01"	"2003"	"2003"	"15 years"	"15"	405
	"Alabama"	"01"	"2003"	"2003"	"16 years"	"16"	800
	"Alabama"	"01"	"2003"	"2003"	"17 years"	"17"	1460
	"Alabama"	"01"	"2003"	"2003"	"18 years"	"18"	2301
	"Alabama"	"01"	"2003"	"2003"	"19 years"	"19"	3129
	"Alabama"	"01"	"2003"	"2003"	"20 years"	"20"	3577
	"Alabama"	"01"	"2003"	"2003"	"21 years"	"21"	3823
	"Alabama"	"01"	"2003"	"2003"	"22 years"	"22"	3868
	"Alabama"	"01"	"2003"	"2003"	"23 years"	"23"	3757
	"Alabama"	"01"	"2003"	"2003"	"24 years"	"24"	3608
	"Alabama"	"01"	"2003"	"2003"	"25 years"	"25"	3565
	"Alabama"	"01"	"2003"	"2003"	"26 years"	"26"	3397
	"Alabama"	"01"	"2003"	"2003"	"27 years"	"27"	3085
	"Alabama"	"01"	"2003"	"2003"	"28 years"	"28"	3024
	"Alabama"	"01"	"2003"	"2003"	"29 years"	"29"	2854
	"Alabama"	"01"	"2003"	"2003"	"30 years"	"30"	2744
	"Alabama"	"01"	"2003"	"2003"	"31 years"	"31"	2650
	"Alabama"	"01"	"2003"	"2003"	"32 years"	"32"	2456
	"Alabama"	"01"	"2003"	"2003"	"33 years"	"33"	1985
	"Alabama"	"01"	"2003"	"2003"	"34 years"	"34"	1629
	"Alabama"	"01"	"2003"	"2003"	"35 years"	"35"	1297
	"Alabama"	"01"	"2003"	"2003"	"36 years"	"36"	1066
	"Alabama"	"01"	"2003"	"2003"	"37 years"	"37"	783
	"Alabama"	"01"	"2003"	"2003"	"38 years"	"38"	713
	"Alabama"	"01"	"2003"	"2003"	"39 years"	"39"	502
	"Alabama"	"01"	"2003"	"2003"	"40 years"	"40"	360
	"Alabama"	"01"	"2003"	"2003"	"41 years"	"41"	252
	"Alabama"	"01"	"2003"	"2003"	"42 years"	"42"	148
	"Alabama"	"01"	"2003"	"2003"	"43 years"	"43"	61
	"Alabama"	"01"	"2003"	"2003"	"44 years"	"44"	47
	"Alabama"	"01"	"2003"	"2003"	"45 years"	"45"	15
	"Alabama"	"01"	"2003"	"2003"	"46 years"	"46"	14
	"Alabama"	"01"	"2004"	"2004"	"Under 15 years"	"14"	162
	"Alabama"	"01"	"2004"	"2004"	"15 years"	"15"	367
	"Alabama"	"01"	"2004"	"2004"	"16 years"	"16"	805
	"Alabama"	"01"	"2004"	"2004"	"17 years"	"17"	1510
	"Alabama"	"01"	"2004"	"2004"	"18 years"	"18"	2250
	"Alabama"	"01"	"2004"	"2004"	"19 years"	"19"	3194
	"Alabama"	"01"	"2004"	"2004"	"20 years"	"20"	3581
	"Alabama"	"01"	"2004"	"2004"	"21 years"	"21"	3747
	"Alabama"	"01"	"2004"	"2004"	"22 years"	"22"	3798
	"Alabama"	"01"	"2004"	"2004"	"23 years"	"23"	3809
	"Alabama"	"01"	"2004"	"2004"	"24 years"	"24"	3646
	"Alabama"	"01"	"2004"	"2004"	"25 years"	"25"	3620
	"Alabama"	"01"	"2004"	"2004"	"26 years"	"26"	3344
	"Alabama"	"01"	"2004"	"2004"	"27 years"	"27"	3257
	"Alabama"	"01"	"2004"	"2004"	"28 years"	"28"	3059
	"Alabama"	"01"	"2004"	"2004"	"29 years"	"29"	2932
	"Alabama"	"01"	"2004"	"2004"	"30 years"	"30"	2647
	"Alabama"	"01"	"2004"	"2004"	"31 years"	"31"	2442
	"Alabama"	"01"	"2004"	"2004"	"32 years"	"32"	2189
	"Alabama"	"01"	"2004"	"2004"	"33 years"	"33"	2059
	"Alabama"	"01"	"2004"	"2004"	"34 years"	"34"	1707
	"Alabama"	"01"	"2004"	"2004"	"35 years"	"35"	1375
	"Alabama"	"01"	"2004"	"2004"	"36 years"	"36"	1022
	"Alabama"	"01"	"2004"	"2004"	"37 years"	"37"	848
	"Alabama"	"01"	"2004"	"2004"	"38 years"	"38"	661
	"Alabama"	"01"	"2004"	"2004"	"39 years"	"39"	539
	"Alabama"	"01"	"2004"	"2004"	"40 years"	"40"	368
	"Alabama"	"01"	"2004"	"2004"	"41 years"	"41"	232
	"Alabama"	"01"	"2004"	"2004"	"42 years"	"42"	163
	"Alabama"	"01"	"2004"	"2004"	"43 years"	"43"	94
	"Alabama"	"01"	"2004"	"2004"	"44 years"	"44"	41
	"Alabama"	"01"	"2004"	"2004"	"45 years"	"45"	19
	"Alabama"	"01"	"2004"	"2004"	"46 years"	"46"	14
	"Alabama"	"01"	"2005"	"2005"	"Under 15 years"	"14"	150
	"Alabama"	"01"	"2005"	"2005"	"15 years"	"15"	367
	"Alabama"	"01"	"2005"	"2005"	"16 years"	"16"	770
	"Alabama"	"01"	"2005"	"2005"	"17 years"	"17"	1353
