"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Age of Mother"	"Age of Mother Code"	Births
	"Alabama"	"01"	"1995"	"1995"	"Under 15 years"	"15"	324
	"Alabama"	"01"	"1995"	"1995"	"15-19 years"	"15-19"	10857
	"Alabama"	"01"	"1995"	"1995"	"20-24 years"	"20-24"	18467
	"Alabama"	"01"	"1995"	"1995"	"25-29 years"	"25-29"	15400
	"Alabama"	"01"	"1995"	"1995"	"30-34 years"	"30-34"	10746
	"Alabama"	"01"	"1995"	"1995"	"35-39 years"	"35-39"	3899
	"Alabama"	"01"	"1995"	"1995"	"40-44 years"	"40-44"	616
	"Alabama"	"01"	"1995"	"1995"	"45-49 years"	"45-49"	20
	"Alabama"	"01"	"1996"	"1996"	"Under 15 years"	"15"	311
	"Alabama"	"01"	"1996"	"1996"	"15-19 years"	"15-19"	10807
	"Alabama"	"01"	"1996"	"1996"	"20-24 years"	"20-24"	18052
	"Alabama"	"01"	"1996"	"1996"	"25-29 years"	"25-29"	15863
	"Alabama"	"01"	"1996"	"1996"	"30-34 years"	"30-34"	10595
	"Alabama"	"01"	"1996"	"1996"	"35-39 years"	"35-39"	4182
	"Alabama"	"01"	"1996"	"1996"	"40-44 years"	"40-44"	660
	"Alabama"	"01"	"1996"	"1996"	"45-49 years"	"45-49"	18
	"Alabama"	"01"	"1997"	"1997"	"Under 15 years"	"15"	269
	"Alabama"	"01"	"1997"	"1997"	"15-19 years"	"15-19"	10461
	"Alabama"	"01"	"1997"	"1997"	"20-24 years"	"20-24"	18201
	"Alabama"	"01"	"1997"	"1997"	"25-29 years"	"25-29"	16477
	"Alabama"	"01"	"1997"	"1997"	"30-34 years"	"30-34"	10549
	"Alabama"	"01"	"1997"	"1997"	"35-39 years"	"35-39"	4300
	"Alabama"	"01"	"1997"	"1997"	"40-44 years"	"40-44"	640
	"Alabama"	"01"	"1997"	"1997"	"45-49 years"	"45-49"	17
	"Alabama"	"01"	"1998"	"1998"	"Under 15 years"	"15"	234
	"Alabama"	"01"	"1998"	"1998"	"15-19 years"	"15-19"	10393
	"Alabama"	"01"	"1998"	"1998"	"20-24 years"	"20-24"	18950
	"Alabama"	"01"	"1998"	"1998"	"25-29 years"	"25-29"	16969
	"Alabama"	"01"	"1998"	"1998"	"30-34 years"	"30-34"	10386
	"Alabama"	"01"	"1998"	"1998"	"35-39 years"	"35-39"	4362
	"Alabama"	"01"	"1998"	"1998"	"40-44 years"	"40-44"	758
	"Alabama"	"01"	"1998"	"1998"	"45-49 years"	"45-49"	21
	"Alabama"	"01"	"1999"	"1999"	"Under 15 years"	"15"	221
	"Alabama"	"01"	"1999"	"1999"	"15-19 years"	"15-19"	9850
	"Alabama"	"01"	"1999"	"1999"	"20-24 years"	"20-24"	19250
	"Alabama"	"01"	"1999"	"1999"	"25-29 years"	"25-29"	17054
	"Alabama"	"01"	"1999"	"1999"	"30-34 years"	"30-34"	10507
	"Alabama"	"01"	"1999"	"1999"	"35-39 years"	"35-39"	4439
	"Alabama"	"01"	"1999"	"1999"	"40-44 years"	"40-44"	771
	"Alabama"	"01"	"1999"	"1999"	"45-49 years"	"45-49"	30
	"Alabama"	"01"	"2000"	"2000"	"Under 15 years"	"15"	201
	"Alabama"	"01"	"2000"	"2000"	"15-19 years"	"15-19"	9727
	"Alabama"	"01"	"2000"	"2000"	"20-24 years"	"20-24"	20084
	"Alabama"	"01"	"2000"	"2000"	"25-29 years"	"25-29"	17111
	"Alabama"	"01"	"2000"	"2000"	"30-34 years"	"30-34"	10806
